X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0.401562,3.86128
0.401565,4.00022
0.401568,3.94934
0.401571,3.72012
0.401574,3.3488
0.401577,2.88956
0.40158,2.40879
0.401583,1.97953
0.401587,1.67102
0.40159,1.53306
0.401593,1.5849
0.401596,1.81507
0.401599,2.18733
0.401602,2.64753
0.401605,3.12926
0.401608,3.55949
0.401612,3.86898
0.401615,4.00792
0.401618,3.95704
0.401621,3.72782
0.401624,3.3565
0.401627,2.89726
0.40163,2.41648
0.401633,1.98723
0.401637,1.67872
0.40164,1.54075
0.401643,1.59259
0.401646,1.82276
0.401649,2.19502
0.401652,2.65522
0.401655,3.13695
0.401658,3.56718
0.401662,3.87667
0.401665,4.01561
0.401668,3.96473
0.401671,3.73551
0.401674,3.36419
0.401677,2.90494
0.40168,2.42417
0.401683,1.99491
0.401687,1.6864
0.40169,1.54844
0.401693,1.60028
0.401696,1.83044
0.401699,2.20271
0.401702,2.6629
0.401705,3.14464
0.401708,3.57486
0.401712,3.88435
0.401715,4.02329
0.401718,3.9724
0.401721,3.74318
0.401724,3.37187
0.401727,2.91262
0.40173,2.43185
0.401733,2.00259
0.401737,1.69408
0.40174,1.55611
0.401743,1.60795
0.401746,1.83812
0.401749,2.21038
0.401752,2.67057
0.401755,3.15231
0.401758,3.58253
0.401762,3.89202
0.401765,4.03095
0.401768,3.98007
0.401771,3.75085
0.401774,3.37953
0.401777,2.92029
0.40178,2.43951
0.401783,2.01025
0.401787,1.70174
0.40179,1.56377
0.401793,1.61561
0.401796,1.84578
0.401799,2.21804
0.401802,2.67823
0.401805,3.15997
0.401808,3.59019
0.401812,3.89968
0.401815,4.03861
0.401818,3.98773
0.401821,3.75851
0.401824,3.38719
0.401827,2.92794
0.40183,2.44717
0.401833,2.01791
0.401837,1.70939
0.40184,1.57142
0.401843,1.62326
0.401846,1.85343
0.401849,2.22569
0.401852,2.68588
0.401855,3.16761
0.401858,3.59784
0.401862,3.90732
0.401865,4.04626
0.401868,3.99538
0.401871,3.76615
0.401874,3.39483
0.401877,2.93559
0.40188,2.45481
0.401883,2.02555
0.401887,1.71704
0.40189,1.57907
0.401893,1.6309
0.401896,1.86107
0.401899,2.23333
0.401902,2.69352
0.401905,3.17525
0.401908,3.60548
0.401912,3.91496
0.401915,4.05389
0.401918,4.00301
0.401921,3.77379
0.401924,3.40247
0.401927,2.94322
0.40193,2.46244
0.401933,2.03318
0.401937,1.72467
0.40194,1.5867
0.401943,1.63853
0.401946,1.8687
0.401949,2.24096
0.401952,2.70115
0.401955,3.18288
0.401958,3.6131
0.401962,3.92259
0.401965,4.06152
0.401968,4.01063
0.401971,3.78141
0.401974,3.41009
0.401977,2.95084
0.40198,2.47006
0.401983,2.0408
0.401987,1.73229
0.40199,1.59431
0.401993,1.64615
0.401996,1.87631
0.401999,2.24857
0.402002,2.70876
0.402005,3.19049
0.402008,3.62072
0.402012,3.9302
0.402015,4.06913
0.402018,4.01824
0.402021,3.78902
0.402024,3.4177
0.402027,2.95845
0.40203,2.47767
0.402033,2.04841
0.402037,1.73989
0.40204,1.60192
0.402043,1.65375
0.402046,1.88392
0.402049,2.25617
0.402052,2.71636
0.402055,3.19809
0.402058,3.62832
0.402062,3.9378
0.402065,4.07673
0.402068,4.02584
0.402071,3.79662
0.402074,3.4253
0.402077,2.96604
0.40208,2.48526
0.402083,2.056
0.402087,1.74749
0.40209,1.60951
0.402093,1.66135
0.402096,1.89151
