X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
1.6026,-1.39496
1.6026,0.548671
1.60261,2.40877
1.60261,3.90215
1.60262,4.80147
1.60263,4.9698
1.60263,4.38153
1.60264,3.12621
1.60265,1.39496
1.60265,-0.548671
1.60266,-2.40877
1.60266,-3.90215
1.60267,-4.80147
1.60268,-4.9698
1.60268,-4.38153
1.60269,-3.12621
1.6027,-1.39496
1.6027,0.548671
1.60271,2.40877
1.60271,3.90215
1.60272,4.80147
1.60273,4.9698
1.60273,4.38153
1.60274,3.12621
1.60275,1.39496
1.60275,-0.548671
1.60276,-2.40877
1.60276,-3.90215
1.60277,-4.80147
1.60278,-4.9698
1.60278,-4.38153
1.60279,-3.12621
1.6028,-1.39496
1.6028,0.548671
1.60281,2.40877
1.60281,3.90215
1.60282,4.80147
1.60283,4.9698
1.60283,4.38153
1.60284,3.12621
1.60285,1.39496
1.60285,-0.548671
1.60286,-2.40877
1.60286,-3.90215
1.60287,-4.80147
1.60288,-4.9698
1.60288,-4.38153
1.60289,-3.12621
1.6029,-1.39496
1.6029,0.548671
1.60291,2.40877
1.60291,3.90215
1.60292,4.80147
1.60293,4.9698
1.60293,4.38153
1.60294,3.12621
1.60295,1.39496
1.60295,-0.548671
1.60296,-2.40877
1.60296,-3.90215
1.60297,-4.80147
1.60298,-4.9698
1.60298,-4.38153
1.60299,-3.12621
1.603,-1.39496
1.603,0.548671
1.60301,2.40877
1.60301,3.90215
1.60302,4.80147
1.60303,4.9698
1.60303,4.38153
1.60304,3.12621
1.60305,1.39496
1.60305,-0.548671
1.60306,-2.40877
1.60306,-3.90215
1.60307,-4.80147
1.60308,-4.9698
1.60308,-4.38153
1.60309,-3.12621
1.6031,-1.39496
1.6031,0.548671
1.60311,2.40877
1.60311,3.90215
1.60312,4.80147
1.60313,4.9698
1.60313,4.38153
1.60314,3.12621
1.60315,1.39496
1.60315,-0.548671
1.60316,-2.40877
1.60316,-3.90215
1.60317,-4.80147
1.60318,-4.9698
1.60318,-4.38153
1.60319,-3.12621
1.6032,-1.39496
1.6032,0.548671
1.60321,2.40877
1.60321,3.90215
1.60322,4.80147
1.60323,4.9698
1.60323,4.38153
1.60324,3.12621
1.60325,1.39496
1.60325,-0.548671
1.60326,-2.40877
1.60326,-3.90215
1.60327,-4.80147
1.60328,-4.9698
1.60328,-4.38153
1.60329,-3.12621
1.6033,-1.39496
1.6033,0.548671
1.60331,2.40877
1.60331,3.90215
1.60332,4.80147
