X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0164982,-0.903892,,0.0164982,0.0508626
0.0164988,-0.671391,,0.0164988,0.0359305
0.0164995,-0.336677,,0.0164995,0.0156792
0.0165001,0.0492939,,0.0165001,-0.00681434
0.0165007,0.42776,,0.0165007,-0.0281289
0.0165013,0.741103,,0.0165013,-0.0450164
0.016502,0.94162,,0.016502,-0.0549
0.0165026,0.998784,,0.0165026,-0.0562728
0.0165032,0.903892,,0.0165032,-0.0489286
0.0165038,0.671391,,0.0165038,-0.0339894
0.0165045,0.336677,,0.0165045,-0.0137299
0.0165051,-0.0492939,,0.0165051,0.00876798
0.0165057,-0.42776,,0.0165057,0.0300806
0.0165063,-0.741103,,0.0165063,0.046961
0.016507,-0.94162,,0.016507,0.0568365
0.0165076,-0.998784,,0.0165076,0.058205
0.0165082,-0.903892,,0.0165082,0.0508626
0.0165088,-0.671391,,0.0165088,0.0359305
0.0165095,-0.336677,,0.0165095,0.0156792
0.0165101,0.0492939,,0.0165101,-0.00681434
0.0165107,0.42776,,0.0165107,-0.0281289
0.0165113,0.741103,,0.0165113,-0.0450164
0.016512,0.94162,,0.016512,-0.0549
0.0165126,0.998784,,0.0165126,-0.0562728
0.0165132,0.903892,,0.0165132,-0.0489286
0.0165138,0.671391,,0.0165138,-0.0339894
0.0165145,0.336677,,0.0165145,-0.0137299
0.0165151,-0.0492939,,0.0165151,0.00876798
0.0165157,-0.42776,,0.0165157,0.0300806
0.0165163,-0.741103,,0.0165163,0.046961
0.016517,-0.94162,,0.016517,0.0568365
0.0165176,-0.998784,,0.0165176,0.058205
0.0165182,-0.903892,,0.0165182,0.0508626
0.0165188,-0.671391,,0.0165188,0.0359305
0.0165195,-0.336677,,0.0165195,0.0156792
0.0165201,0.0492939,,0.0165201,-0.00681434
0.0165207,0.42776,,0.0165207,-0.0281289
0.0165213,0.741103,,0.0165213,-0.0450164
0.016522,0.94162,,0.016522,-0.0549
0.0165226,0.998784,,0.0165226,-0.0562728
0.0165232,0.903892,,0.0165232,-0.0489286
0.0165238,0.671391,,0.0165238,-0.0339894
0.0165245,0.336677,,0.0165245,-0.0137299
0.0165251,-0.0492939,,0.0165251,0.00876798
0.0165257,-0.42776,,0.0165257,0.0300806
0.0165263,-0.741103,,0.0165263,0.046961
0.016527,-0.94162,,0.016527,0.0568365
0.0165276,-0.998784,,0.0165276,0.058205
0.0165282,-0.903892,,0.0165282,0.0508626
0.0165288,-0.671391,,0.0165288,0.0359305
0.0165295,-0.336677,,0.0165295,0.0156792
0.0165301,0.0492939,,0.0165301,-0.00681434
0.0165307,0.42776,,0.0165307,-0.0281289
0.0165313,0.741103,,0.0165313,-0.0450164
0.016532,0.94162,,0.016532,-0.0549
0.0165326,0.998784,,0.0165326,-0.0562728
0.0165332,0.903892,,0.0165332,-0.0489286
0.0165338,0.671391,,0.0165338,-0.0339894
0.0165345,0.336677,,0.0165345,-0.0137299
0.0165351,-0.0492939,,0.0165351,0.00876798
0.0165357,-0.42776,,0.0165357,0.0300806
0.0165363,-0.741103,,0.0165363,0.046961
0.016537,-0.94162,,0.016537,0.0568365
0.0165376,-0.998784,,0.0165376,0.058205
0.0165382,-0.903892,,0.0165382,0.0508626
0.0165388,-0.671391,,0.0165388,0.0359305
0.0165395,-0.336677,,0.0165395,0.0156792
0.0165401,0.0492939,,0.0165401,-0.00681434
0.0165407,0.42776,,0.0165407,-0.0281289
0.0165413,0.741103,,0.0165413,-0.0450164
0.016542,0.94162,,0.016542,-0.0549
0.0165426,0.998784,,0.0165426,-0.0562728
0.0165432,0.903892,,0.0165432,-0.0489286
0.0165438,0.671391,,0.0165438,-0.0339894
0.0165445,0.336677,,0.0165445,-0.0137299
0.0165451,-0.0492939,,0.0165451,0.00876798
0.0165457,-0.42776,,0.0165457,0.0300806
0.0165463,-0.741103,,0.0165463,0.046961
0.016547,-0.94162,,0.016547,0.0568365
0.0165476,-0.998784,,0.0165476,0.058205
0.0165482,-0.903892,,0.0165482,0.0508626
0.0165488,-0.671391,,0.0165488,0.0359305
0.0165495,-0.336677,,0.0165495,0.0156792
0.0165501,0.0492939,,0.0165501,-0.00681434
0.0165507,0.42776,,0.0165507,-0.0281289
0.0165513,0.741103,,0.0165513,-0.0450164
0.016552,0.94162,,0.016552,-0.0549
0.0165526,0.998784,,0.0165526,-0.0562728
0.0165532,0.903892,,0.0165532,-0.0489286
0.0165538,0.671391,,0.0165538,-0.0339894
0.0165545,0.336677,,0.0165545,-0.0137299
0.0165551,-0.0492939,,0.0165551,0.00876798
0.0165557,-0.42776,,0.0165557,0.0300806
0.0165563,-0.741103,,0.0165563,0.046961
0.016557,-0.94162,,0.016557,0.0568365
0.0165576,-0.998784,,0.0165576,0.058205
0.0165582,-0.903892,,0.0165582,0.0508626
0.0165588,-0.671391,,0.0165588,0.0359305
0.0165595,-0.336677,,0.0165595,0.0156792
0.0165601,0.0492939,,0.0165601,-0.00681434
0.0165607,0.42776,,0.0165607,-0.0281289
0.0165613,0.741103,,0.0165613,-0.0450164
0.016562,0.94162,,0.016562,-0.0549
0.0165626,0.998784,,0.0165626,-0.0562728
0.0165632,0.903892,,0.0165632,-0.0489286
0.0165638,0.671391,,0.0165638,-0.0339894
0.0165645,0.336677,,0.0165645,-0.0137299
0.0165651,-0.0492939,,0.0165651,0.00876798
0.0165657,-0.42776,,0.0165657,0.0300806
0.0165663,-0.741103,,0.0165663,0.046961
0.016567,-0.94162,,0.016567,0.0568365
0.0165676,-0.998784,,0.0165676,0.058205
0.0165682,-0.903892,,0.0165682,0.0508626
0.0165688,-0.671391,,0.0165688,0.0359305
0.0165695,-0.336677,,0.0165695,0.0156792
0.0165701,0.0492939,,0.0165701,-0.00681434
0.0165707,0.42776,,0.0165707,-0.0281289
0.0165713,0.741103,,0.0165713,-0.0450164
0.016572,0.94162,,0.016572,-0.0549
0.0165726,0.998784,,0.0165726,-0.0562728
0.0165732,0.903892,,0.0165732,-0.0489286
0.0165738,0.671391,,0.0165738,-0.0339894
0.0165745,0.336677,,0.0165745,-0.0137299
0.0165751,-0.0492939,,0.0165751,0.00876798
0.0165757,-0.42776,,0.0165757,0.0300806
0.0165763,-0.741103,,0.0165763,0.046961
0.016577,-0.94162,,0.016577,0.0568365
0.0165776,-0.998784,,0.0165776,0.058205
0.0165782,-0.903892,,0.0165782,0.0508626
0.0165788,-0.671391,,0.0165788,0.0359305
0.0165795,-0.336677,,0.0165795,0.0156792
0.0165801,0.0492939,,0.0165801,-0.00681434
0.0165807,0.42776,,0.0165807,-0.0281289
0.0165813,0.741103,,0.0165813,-0.0450164
0.016582,0.94162,,0.016582,-0.0549
0.0165826,0.998784,,0.0165826,-0.0562728
0.0165832,0.903892,,0.0165832,-0.0489286
0.0165838,0.671391,,0.0165838,-0.0339894
0.0165845,0.336677,,0.0165845,-0.0137299
0.0165851,-0.0492939,,0.0165851,0.00876798
