X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.00135405,-0.251477,,0.00135405,0.795624
0.0013603,-0.60272,,0.0013603,0.225969
0.00136655,-0.862204,,0.00136655,-0.378034
0.0013728,-0.990425,,0.0013728,-0.924454
0.00137905,-0.967863,,0.00137905,-1.33005
0.0013853,-0.797953,,0.0013853,-1.53292
0.00139155,-0.506561,,0.00139155,-1.50216
0.0013978,-0.13805,,0.0013978,-1.24257
0.00140405,0.251477,,0.00140405,-0.793709
0.0014103,0.60272,,0.0014103,-0.223878
0.00141655,0.862204,,0.00141655,0.380251
0.0014228,0.990425,,0.0014228,0.926675
0.00142905,0.967863,,0.00142905,1.33214
0.0014353,0.797953,,0.0014353,1.53483
0.00144155,0.506561,,0.00144155,1.50396
0.0014478,0.13805,,0.0014478,1.24436
0.00145405,-0.251477,,0.00145405,0.795624
0.0014603,-0.60272,,0.0014603,0.225969
0.00146655,-0.862204,,0.00146655,-0.378034
0.0014728,-0.990425,,0.0014728,-0.924454
0.00147905,-0.967863,,0.00147905,-1.33005
0.0014853,-0.797953,,0.0014853,-1.53292
0.00149155,-0.506561,,0.00149155,-1.50216
0.0014978,-0.13805,,0.0014978,-1.24257
0.00150405,0.251477,,0.00150405,-0.793709
0.0015103,0.60272,,0.0015103,-0.223878
0.00151655,0.862204,,0.00151655,0.380251
0.0015228,0.990425,,0.0015228,0.926675
0.00152905,0.967863,,0.00152905,1.33214
0.0015353,0.797953,,0.0015353,1.53483
0.00154155,0.506561,,0.00154155,1.50396
0.0015478,0.13805,,0.0015478,1.24436
0.00155405,-0.251477,,0.00155405,0.795624
0.0015603,-0.60272,,0.0015603,0.225969
0.00156655,-0.862204,,0.00156655,-0.378034
0.0015728,-0.990425,,0.0015728,-0.924454
0.00157905,-0.967863,,0.00157905,-1.33005
0.0015853,-0.797953,,0.0015853,-1.53292
0.00159155,-0.506561,,0.00159155,-1.50216
0.0015978,-0.13805,,0.0015978,-1.24257
0.00160405,0.251477,,0.00160405,-0.793709
0.0016103,0.60272,,0.0016103,-0.223878
0.00161655,0.862204,,0.00161655,0.380251
0.0016228,0.990425,,0.0016228,0.926675
0.00162905,0.967863,,0.00162905,1.33214
0.0016353,0.797953,,0.0016353,1.53483
0.00164155,0.506561,,0.00164155,1.50396
0.0016478,0.13805,,0.0016478,1.24436
0.00165405,-0.251477,,0.00165405,0.795624
0.0016603,-0.60272,,0.0016603,0.225969
0.00166655,-0.862204,,0.00166655,-0.378034
0.0016728,-0.990425,,0.0016728,-0.924454
0.00167905,-0.967863,,0.00167905,-1.33005
0.0016853,-0.797953,,0.0016853,-1.53292
0.00169155,-0.506561,,0.00169155,-1.50216
0.0016978,-0.13805,,0.0016978,-1.24257
0.00170405,0.251477,,0.00170405,-0.793709
0.0017103,0.60272,,0.0017103,-0.223878
0.00171655,0.862204,,0.00171655,0.380251
0.0017228,0.990425,,0.0017228,0.926675
0.00172905,0.967863,,0.00172905,1.33214
0.0017353,0.797953,,0.0017353,1.53483
0.00174155,0.506561,,0.00174155,1.50396
0.0017478,0.13805,,0.0017478,1.24436
0.00175405,-0.251477,,0.00175405,0.795624
0.0017603,-0.60272,,0.0017603,0.225969
0.00176655,-0.862204,,0.00176655,-0.378034
0.0017728,-0.990425,,0.0017728,-0.924454
0.00177905,-0.967863,,0.00177905,-1.33005
0.0017853,-0.797953,,0.0017853,-1.53292
0.00179155,-0.506561,,0.00179155,-1.50216
0.0017978,-0.13805,,0.0017978,-1.24257
0.00180405,0.251477,,0.00180405,-0.793709
0.0018103,0.60272,,0.0018103,-0.223878
0.00181655,0.862204,,0.00181655,0.380251
0.0018228,0.990425,,0.0018228,0.926675
0.00182905,0.967863,,0.00182905,1.33214
0.0018353,0.797953,,0.0018353,1.53483
0.00184155,0.506561,,0.00184155,1.50396
0.0018478,0.13805,,0.0018478,1.24436
0.00185405,-0.251477,,0.00185405,0.795624
0.0018603,-0.60272,,0.0018603,0.225969
0.00186655,-0.862204,,0.00186655,-0.378034
0.0018728,-0.990425,,0.0018728,-0.924454
0.00187905,-0.967863,,0.00187905,-1.33005
0.0018853,-0.797953,,0.0018853,-1.53292
0.00189155,-0.506561,,0.00189155,-1.50216
0.0018978,-0.13805,,0.0018978,-1.24257
0.00190405,0.251477,,0.00190405,-0.793709
0.0019103,0.60272,,0.0019103,-0.223878
0.00191655,0.862204,,0.00191655,0.380251
0.0019228,0.990425,,0.0019228,0.926675
0.00192905,0.967863,,0.00192905,1.33214
0.0019353,0.797953,,0.0019353,1.53483
0.00194155,0.506561,,0.00194155,1.50396
0.0019478,0.13805,,0.0019478,1.24436
0.00195405,-0.251477,,0.00195405,0.795624
0.0019603,-0.60272,,0.0019603,0.225969
0.00196655,-0.862204,,0.00196655,-0.378034
0.0019728,-0.990425,,0.0019728,-0.924454
0.00197905,-0.967863,,0.00197905,-1.33005
0.0019853,-0.797953,,0.0019853,-1.53292
0.00199155,-0.506561,,0.00199155,-1.50216
0.0019978,-0.13805,,0.0019978,-1.24257
0.00200405,0.251477,,0.00200405,-0.793709
0.0020103,0.60272,,0.0020103,-0.223878
0.00201655,0.862204,,0.00201655,0.380251
0.0020228,0.990425,,0.0020228,0.926675
0.00202905,0.967863,,0.00202905,1.33214
0.0020353,0.797953,,0.0020353,1.53483
0.00204155,0.506561,,0.00204155,1.50396
0.0020478,0.13805,,0.0020478,1.24436
0.00205405,-0.251477,,0.00205405,0.795624
0.0020603,-0.60272,,0.0020603,0.225969
0.00206655,-0.862204,,0.00206655,-0.378034
0.0020728,-0.990425,,0.0020728,-0.924454
0.00207905,-0.967863,,0.00207905,-1.33005
0.0020853,-0.797953,,0.0020853,-1.53292
0.00209155,-0.506561,,0.00209155,-1.50216
0.0020978,-0.13805,,0.0020978,-1.24257
0.00210405,0.251477,,0.00210405,-0.793709
0.0021103,0.60272,,0.0021103,-0.223878
0.00211655,0.862204,,0.00211655,0.380251
0.0021228,0.990425,,0.0021228,0.926675
0.00212905,0.967863,,0.00212905,1.33214
0.0021353,0.797953,,0.0021353,1.53483
0.00214155,0.506561,,0.00214155,1.50396
0.0021478,0.13805,,0.0021478,1.24436
0.00215405,-0.251477,,0.00215405,0.795624
0.0021603,-0.60272,,0.0021603,0.225969
0.00216655,-0.862204,,0.00216655,-0.378034
0.0021728,-0.990425,,0.0021728,-0.924454
0.00217905,-0.967863,,0.00217905,-1.33005
0.0021853,-0.797953,,0.0021853,-1.53292
0.00219155,-0.506561,,0.00219155,-1.50216
0.0021978,-0.13805,,0.0021978,-1.24257
0.00220405,0.251477,,0.00220405,-0.793709
0.0022103,0.60272,,0.0022103,-0.223878
0.00221655,0.862204,,0.00221655,0.380251
0.0022228,0.990425,,0.0022228,0.926675
0.00222905,0.967863,,0.00222905,1.33214
0.0022353,0.797953,,0.0022353,1.53483
0.00224155,0.506561,,0.00224155,1.50396
0.0022478,0.13805,,0.0022478,1.24436
0.00225405,-0.251477,,0.00225405,0.795624
0.0022603,-0.60272,,0.0022603,0.225969
0.00226655,-0.862204,,0.00226655,-0.378034
0.0022728,-0.990425,,0.0022728,-0.924454
0.00227905,-0.967863,,0.00227905,-1.33005
0.0022853,-0.797953,,0.0022853,-1.53292
0.00229155,-0.506561,,0.00229155,-1.50216
0.0022978,-0.13805,,0.0022978,-1.24257
0.00230405,0.251477,,0.00230405,-0.793709
0.0023103,0.60272,,0.0023103,-0.223878
0.00231655,0.862204,,0.00231655,0.380251
0.0023228,0.990425,,0.0023228,0.926675
0.00232905,0.967863,,0.00232905,1.33214
0.0023353,0.797953,,0.0023353,1.53483
0.00234155,0.506561,,0.00234155,1.50396
0.0023478,0.13805,,0.0023478,1.24436
0.00235405,-0.251477,,0.00235405,0.795624
0.0023603,-0.60272,,0.0023603,0.225969
0.00236655,-0.862204,,0.00236655,-0.378034
0.0023728,-0.990425,,0.0023728,-0.924454
0.00237905,-0.967863,,0.00237905,-1.33005
0.0023853,-0.797953,,0.0023853,-1.53292
0.00239155,-0.506561,,0.00239155,-1.50216
0.0023978,-0.13805,,0.0023978,-1.24257
0.00240405,0.251477,,0.00240405,-0.793709
0.0024103,0.60272,,0.0024103,-0.223878
0.00241655,0.862204,,0.00241655,0.380251
0.0024228,0.990425,,0.0024228,0.926675
0.00242905,0.967863,,0.00242905,1.33214
